*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
1490,Forx Pop Riverts 3/16 x 1 ( 500 Pcs ),3G50-25,16-Mar,"Rs.4,720.00",0,0,Rs.0.00
1491,Door Lock ( EHPL ) 5805 MAB / BN,6D07-01,0,"Rs.5,485.00",0,0,"Rs.21,940.00"
1492,Door Lock ( EHPL ) 5805 MAE / BN,6d07-02,0,"Rs.5,485.00",0,0,"Rs.27,425.00"
1493,Door Lock ( EHPL ) 5805 MSN / BN,6D07-03,0,"Rs.5,485.00",0,0,Rs.0.00
1494,Door Lock ( EHPL ) 58102-07 MAE,6D07-04,0,"Rs.2,500.00",0,0,Rs.0.00
1495,Door Lock ( EHPL ) 58102-06 MAE,6D07-05,0,"Rs.2,661.00",0,0,Rs.0.00
1496,Door Lock (FOEVE) A52F-313 MSN/CP,6D09-01,0,"Rs.5,425.00",0,0,Rs.0.00
1497,Door Lock (FOEVE) A52F-313 BN/CP,6D09-02,0,"Rs.5,425.00",0,0,Rs.0.00
1498,Door Lock (FOEVE) 52F-301 MBN/CP,6D09-03,0,"Rs.5,425.00",0,0,Rs.0.00
1499,Door Lock (FOEVE) AZ016 MSN/CP,6D09-03,0,"Rs.5,425.00",0,0,Rs.0.00
1500,Door Lock (FOEVE) AZ016 BN/CP,6D09-05,0,"Rs.5,425.00",0,0,"Rs.1,204,350.00"
1501,Door Lock (EHPL) 58102-9 MAE,6D07-06,0,"Rs.2,661.00",0,0,Rs.0.00
1502,Door Lock (EHPL) 58104 MAB,6D07-07,0,"Rs.2,691.00",0,0,Rs.0.00
1503,Door Lock (FOEVE) 95114-1A MAB/CP (XL),6D10-01,0,"Rs.9,700.00",0,0,Rs.0.00
1504,Door Lock (EHPL) 58104 MAE,6D07-08,0,"Rs.2,962.00",0,0,Rs.0.00
1505,Door Lock (FOEVE) 95114-1A MAE/GP (XL),6D10-02,0,"Rs.9,700.00",0,0,Rs.0.00
1506,Door Lock (EHPL) 58106 BN / MSN,6D07-09,0,"Rs.5,485.00",0,0,"Rs.65,820.00"
1507,Door Lock (FOEVE) 95114-2A MAB/CP (XL),6D10-03,0,"Rs.9,700.00",0,0,Rs.0.00
1508,Door Lock (EHPL) 58106 MSN / BN,6D07-10,0,"Rs.5,485.00",0,0,Rs.0.00
1509,Door Lock (FOEVE) 95114-2A MAE/GP (XL),6D10-04,0,"Rs.9,700.00",0,0,Rs.0.00
1510,Door Lock (EHPL) 58107 MAB,6D07-11,0,"Rs.4,460.00",0,0,Rs.0.00
1511,Door Lock (EHPL) 58107 MAE,6D07-12,0,"Rs.4,460.00",1,0,Rs.0.00
1512,Drawar Lock 139-26,6D02-04,0,"Rs.4,305.00",43,0,"Rs.249,690.00"
1513,Door Lock (EHPL) 58107A - MAB,6D07-13,0,"Rs.4,620.00",0,0,Rs.0.00
1514,Sliding Glass Door Lock,6D02-05,0,Rs.350.00,0,0,"Rs.1,050.00"
1515,Door Lock (EHPL) 58109 MAE,6D07-14,0,"Rs.2,962.00",0,0,Rs.0.00
1516,Door Lock (EHPL) 58114A MAB / BN,6D07-15,0,"Rs.5,070.00",0,0,Rs.0.00
1517,Cabinet Cam Lock ( Xiaoboshi ),6D02-06,0,Rs.475.00,57,0,"Rs.53,200.00"
1518,Door Lock (EHPL) 58114 MAE / BN,6D07-16,0,"Rs.5,070.00",0,0,Rs.0.00
1519,Door Lock (EHPL) 58118 MAE / BN,6D07-17,0,"Rs.5,485.00",0,0,"Rs.5,485.00"
1520,Onion Lock J678-95,6D03-07,0,"Rs.2,895.00",0,0,Rs.0.00
1521,Door Lock (EHPL) 58118 MSN / BN,6D07-18,0,"Rs.5,485.00",0,0,"Rs.82,275.00"
1522,Onion Lock J910-95,6D03-08,0,"Rs.1,470.00",0,0,Rs.0.00
1523,Door Lock (EHPL) 5814 MAE,6D07-19,0,"Rs.2,801.00",17,0,Rs.0.00
1524,Door Lock (EHPL) 58161 MAB / CP,6D07-20,0,"Rs.4,460.00",0,0,"Rs.17,840.00"
1525,Door Lock (EHPL) 58161 MAE / CP,6D07-21,0,"Rs.4,460.00",0,0,Rs.0.00
1526,Pad Lock (Globe - Brass) 3/4 Inch - 20 mm,3G23-19,04-Mar,Rs.295.00,0,0,Rs.0.00
1527,Door Lock (EHPL) 58171A - MAB,6D07-22,0,"Rs.4,620.00",0,0,"Rs.13,860.00"
1528,Pad Lock (Globe - Brass) 1 Inch - 25 mm,3G23-20,1,Rs.350.00,163,0,"Rs.61,250.00"
1529,Pad Lock (Globe - Brass) 1 1/4 Inch - 32 mm,3G23-21,1 1/4,Rs.550.00,13,0,"Rs.33,550.00"
1530,Door Lock (EHPL) 58171A - MAE,6D07-23,0,"Rs.4,620.00",0,0,Rs.0.00
1531,Pad Lock (Globe - Brass) 1 1/2 Inch - 38 mm,3G23-22,1 1/2,Rs.660.00,0,0,"Rs.13,860.00"
1532,Pad Lock (Globe - Brass) 2 Inch - 50 mm,3G23-23,2,"Rs.1,250.00",0,0,"Rs.45,000.00"
1533,Pad Lock (Globe - Brass) 2 1/2 Inch - 63 mm,3G23-24,2 1/2,"Rs.1,960.00",0,0,"Rs.37,240.00"
1534,Door Lock (EHPL) 58191 MBN / CP,6D07-24,0,"Rs.4,860.00",0,0,Rs.0.00
1535,Pad Lock (Globe - Brass) Long Arm 1 1/2 Inch - 38 mm,3G23-25,1 1/2,Rs.850.00,1,0,"Rs.22,950.00"
1536,Door Lock (EHPL) 5820 AC,6D07-25,0,"Rs.2,701.00",0,0,Rs.0.00
1537,Pad Lock (Globe - Brass) Long Arm 2 Inch - 50 mm,3G23-26,2,"Rs.1,387.00",17,0,"Rs.34,675.00"
1538,Door Lock (EHPL) 5820 MAE,6D07-26,0,"Rs.2,962.00",1,0,Rs.0.00
1539,Door Lock (EHPL) 58220 MAB / WD,6D07-27,0,"Rs.5,485.00",0,0,Rs.0.00
1540,Pad Lock (Globe - Iron) 3/4 Inch - 20 mm,3G23-27,04-Mar,Rs.134.50,0,0,Rs.0.00
1541,Door Lock (EHPL) 58220 MAE / WD,6D07-28,0,"Rs.5,485.00",0,0,Rs.0.00
1542,Pad Lock (Globe - Iron) 1 Inch - 25 mm,3G23-28,1,Rs.153.00,0,0,Rs.0.00
1543,Door Lock (EHPL) 58312 AE / CP (MAE),6D07-29,0,"Rs.5,485.00",0,0,Rs.0.00
1544,Pad Lock (Globe - Iron) 1 1/4 Inch - 30 mm,3G23-29,1 1/4,Rs.231.00,36,0,"Rs.7,161.00"
1545,Pad Lock (Globe - Iron) 1 1/2 Inch - 40 mm,3G23-30,1 1/2,Rs.280.00,12,0,Rs.0.00
1546,Door Lock (EHPL) 5832 MAE,6D07-30,0,"Rs.2,500.00",0,0,Rs.0.00
1547,Pad Lock (Globe - Iron) 2 Inch - 50 mm,3G23-31,2,Rs.439.50,0,0,Rs.0.00
1548,Door Lock (EHPL) 5837 MAE,6D07-31,0,"Rs.5,552.00",0,0,Rs.0.00
1549,Pad Lock (Globe - Iron) 2 1/2 Inch - 60 mm,3G23-32,2 1/2,Rs.659.00,0,0,Rs.0.00
1550,Door Lock (EHPL) 5838 MAE,6D07-32,0,"Rs.2,962.00",0,0,Rs.0.00
1551,Door Lock (EHPL) 5840 MAE,6D07-33,0,"Rs.2,500.00",0,0,Rs.0.00
1552,Pad Lock (Globe - Iron) Long Arm 2  Inch - 50 mm,3G23-33,2,Rs.475.00,0,0,Rs.0.00
1553,Door Lock (EHPL) 58413 MAB / CP,6D07-34,0,"Rs.4,620.00",0,0,"Rs.4,620.00"
1554,Door Lock (EHPL) 5842 MAE,6D07-35,0,"Rs.2,962.00",0,0,Rs.0.00
1555,Door Lock (EHPL) 5847 MAB,6D07-36,0,"Rs.2,962.00",0,0,Rs.0.00
1556,Door Lock (EHPL) 5847 MAE,6D07-37,0,"Rs.2,691.00",0,0,Rs.0.00
1557,Single Pulley 50 mm,3G82-01,50,Rs.350.00,216,4,"Rs.76,650.00"
1558,Door Lock (EHPL) 5848 MAE,6D07-38,0,"Rs.2,601.00",0,0,Rs.0.00
1559,Single Pulley 60 mm,3G82-02,60,Rs.490.00,239,6,"Rs.118,580.00"
1560,Door Lock (EHPL) 5850 MAB / BN,6D07-39,0,"Rs.5,485.00",0,0,"Rs.38,395.00"
1561,Door Lock (EHPL) 5850 MSN / BN,6D07-40,0,"Rs.5,485.00",0,0,"Rs.38,395.00"
1562,Door Lock (EHPL) 5851 MAE,6D07-41,0,"Rs.2,801.00",0,0,Rs.0.00
1563,Door Lock (EHPL) 5856 MAE,6D07-42,0,"Rs.2,385.00",0,0,Rs.0.00
1564,Single Pulley 70 mm,3G82-03,70,Rs.595.00,0,4,"Rs.2,380.00"
1565,Door Lock (EHPL) 5857 MAE,6D07-43,0,"Rs.2,385.00",0,0,Rs.0.00
1566,Single Pulley 80 mm,3G82-04,80,Rs.710.00,313,10,"Rs.223,650.00"
1567,Door Lock (EHPL) 5859 MAB,6D07-44,0,"Rs.2,691.00",0,0,Rs.0.00
1568,Door Lock (EHPL) 5859 MAE,6D07-45,0,"Rs.2,691.00",0,0,Rs.0.00
1569,Door Lock (EHPL) 5865 MAB,6D07-46,0,"Rs.2,962.00",0,0,Rs.0.00
1570,Door Lock (EHPL) 5865 MAE,6D07-47,0,"Rs.2,962.00",0,0,Rs.0.00
1571,Door Lock (EHPL) 5866 MAE,6D07-48,0,"Rs.2,962.00",0,0,Rs.0.00
1572,Single Pulley ( Nylon ) 60 mm,3G82-05,60,Rs.480.00,0,0,Rs.0.00
1573,Door Lock (EHPL) 5880 MAB / WD,6D07-49,0,"Rs.5,485.00",0,0,Rs.0.00
1574,Single Pulley ( Nylon ) 70 mm,3G82-06,70,Rs.835.00,0,0,Rs.0.00
1575,Door Lock (EHPL) 5881 MAB / CP,6D07-50,0,"Rs.4,620.00",0,0,Rs.0.00
1576,Single Pulley ( Nylon ) 80 mm,3G82-07,80,Rs.840.00,0,0,"Rs.3,360.00"
1577,Door Lock (EHPL) 5882 MAE / BN,6D07-51,0,"Rs.5,485.00",0,0,Rs.0.00
1578,Door Lock (EHPL) 5882 MSN / BN,6D07-52,0,"Rs.5,485.00",0,0,"Rs.5,485.00"
1579,Door Lock (EHPL) 5882A MAB / BN,6D07-53,0,"Rs.5,070.00",0,0,Rs.0.00
1580,Door Lock (EHPL) 5888 MAB / CP,6D07-54,0,"Rs.5,485.00",1,0,"Rs.5,485.00"
1581,Door Lock (EHPL) 5888 MAE / CP,6D07-55,0,"Rs.5,485.00",0,1,"Rs.5,485.00"
1582,Door Lock (EHPL) 5888 MAE / WD / CP,6D07-56,0,"Rs.4,860.00",0,0,Rs.0.00
1583,Door Lock (EHPL) 5891 MSN / BN,6D07-57,0,"Rs.5,485.00",0,0,"Rs.76,790.00"
1584,Triangular Pulley 50 mm,3G82-08,50,Rs.440.00,219,12,"Rs.90,200.00"
1585,Triangular Pulley 60 mm,3G82-09,60,Rs.550.00,297,0,"Rs.174,350.00"
1586,Triangular Pulley 70 mm,3G82-10,70,Rs.690.00,141,25,"Rs.98,670.00"
1587,Triangular Pulley 80 mm,3G82-11,80,Rs.850.00,131,25,"Rs.112,200.00"
1588,Triangular Pulley (Double Wheel) 60 mm,3G82-12,60,"Rs.1,250.00",36,0,"Rs.40,000.00"
1589,Triangular Pulley (Double Wheel) 70 mm,3G82-13,70,"Rs.1,750.00",21,0,"Rs.38,500.00"
1590,Triangular Pulley (Double Wheel) 80 mm,3G82-14,80,"Rs.2,080.00",8,0,"Rs.20,800.00"
1591,Capacitor 35 UF (Barel) Pin Type,3G69-35,35,Rs.665.00,116,0,"Rs.72,485.00"
1592,Capacitor 45 UF (Barel) Pin Type,3G69-36,45,Rs.730.00,54,0,"Rs.49,640.00"
1593,Capacitor 50 UF (Barel) Pin Type,3G69-37,50,Rs.780.00,42,0,"Rs.27,300.00"
1594,Capacitor 2 UF (Barel) Wire,3G69-40,2,Rs.115.00,938,0,"Rs.105,915.00"
1595,Capacitor 100 UF (Barel) Wire,3G69-38,100,Rs.790.00,164,0,"Rs.139,830.00"
1596,Capacitor 150 UF (Barel) Wire,3G69-39,150,Rs.795.00,125,0,"Rs.112,890.00"
1597,Solder Wire 40 G,3G90-01,0,Rs.220.00,0,0,Rs.0.00
1598,Gate Valve ( Brass ) 1/2 Inch,3G99-01,02-Jan,Rs.985.00,0,0,Rs.0.00
1599,Solder Wire 60 G,3G90-02,0,Rs.330.00,0,0,Rs.0.00
1600,Gate Valve ( Brass ) 1 Inch,3G99-02,1,"Rs.1,940.00",0,0,Rs.0.00
1601,C - Clamps 4 Inch,3G91-01,4,Rs.750.00,0,0,Rs.0.00
1602,C - Clamps 6 Inch,3G91-02,6,"Rs.1,350.00",0,0,Rs.0.00
1603,C - Clamps 8 Inch,3G91-03,8,"Rs.1,680.00",0,0,Rs.0.00
1604,Automatics Air Release Valve 1/2 Inch,3G100-01,02-Jan,"Rs.1,020.00",0,0,Rs.0.00
1605,Cap Nut 3/8 Inch,3G92-01,08-Mar,Rs.40.00,250,0,Rs.0.00
1606,Cap Nut 1/2 Inch,3G92-02,02-Jan,Rs.55.00,150,0,Rs.0.00
1607,Sink Cleaner OEM 3M ( Metal ),3G101-01,0,Rs.395.00,375,0,"Rs.148,125.00"
1608,Drawer Slide 16 Inch,3G93-01,16,Rs.320.00,0,0,Rs.0.00
1609,Drawer Slide 18 Inch,3G93-02,18,Rs.350.00,235,0,"Rs.71,750.00"
1610,Drawer Slide 20 Inch,3G93-03,20,Rs.395.00,275,0,"Rs.100,330.00"
1611,Drain Pipe Cleaninig Spring Wire ( OEM ),3G101-02,0,Rs.210.00,0,0,Rs.0.00
1612,Thread Seal Tape 18mm x 10m x 0.075mm ( 3/4 Inch ),3G94-01,04-Mar,Rs.60.00,0,0,Rs.0.00
1613,Thread Seal Tape 12mm x 10m x 0.075mm ( 1/2 Inch ),3G94-02,02-Jan,Rs.35.00,0,0,Rs.0.00
1614,Wool Polishing Pad 4 1/2 Inch,1P25-03,4 1/2,Rs.670.00,0,0,Rs.0.00
1615,Thread Seal Tape 25mm x 10m x 0.075mm ( 1 Inch ),3G94-03,1,Rs.65.00,0,0,Rs.0.00
1616,Grass Slasher ( Wood Handle ),3G95-01,0,Rs.382.00,0,0,Rs.0.00
1617,Grass Cutting Blade ( Evertech ) 305 x 90 x 1.6,3G96-01,0,Rs.340.00,6249,1,Rs.340.00
1618,Grass Cutting Blade ( EHPL ) Black,3G96-02,0,Rs.231.00,0,0,Rs.0.00
1619,Grass Cutting Blade ( EHPL ) Slim,3G96-03,0,Rs.265.00,1548,500,"Rs.399,885.00"
1620,Grass Cutting Blade ( EHPL ) Honda - Japan 14 Inch,3G96-04,0,Rs.435.00,1555,0,"Rs.676,425.00"
1621,Wool Polishing Pad 7 Inch,1P25-04,7,Rs.985.00,0,0,Rs.0.00
1622,Grass Cutting Blade ( EHPL ) Teeth,3G96-05,0,Rs.440.00,5680,0,"Rs.1,209,560.00"
1624,Grass Cutting Blade ( Nical ) 305 - 12 Inch,3G96-07,0,Rs.460.00,0,0,Rs.0.00
1625,Tree Pruning Hand Saw ( Rubbe Grip ) Hevy,2H12-02,0,Rs.970.00,1950,21,"Rs.1,970,070.00"
1626,HASP & Staple (S/S) 2.5 Inch,3G36-08,2 1/2,Rs.55.00,3960,0,"Rs.217,360.00"
1627,Grass Cutting Blade ( Round Cup ) 60T,3G96-08,0,"Rs.1,567.00",0,0,Rs.0.00
1628,Grass Cutting Blade ( Round Cup ) 40T,3G96-09,0,Rs.495.00,95,0,Rs.0.00
1629,Grass Trimmer Line ( Square ) 3 mm x 50 m,3G97-01,0,"Rs.1,175.00",592,1,"Rs.480,575.00"
1630,Grass Trimmer Line ( Round ) 3 mm x 50 m,3G97-02,0,Rs.715.00,0,0,Rs.0.00
1631,Grass Trimmer Line ( Square ) 3 mm x 15 m,3G97-03,0,Rs.360.00,19,6,"Rs.2,160.00"
1632,Insulated Screwdriver 6 Inch (+),2H01-59,6,Rs.340.00,5,1,"Rs.1,360.00"
1633,Grass Trimmer Line ( Square ) 3 mm x 1 kg,3G97-04,0,"Rs.2,750.00",39,0,"Rs.110,000.00"
1634,Grass Trimmer Line ( Square ) 4 mm x 50 m,3G97-05,0,"Rs.1,990.00",210,1,"Rs.405,960.00"
1635,Grass Trimmer Line ( Square ) 4 mm x 15 m,3G97-06,0,Rs.595.00,395,4,"Rs.245,140.00"
1636,Insulated Screwdriver 6 Inch (-),2H01-60,6,Rs.340.00,0,0,Rs.0.00
1637,Grass Trimmer Line 2.4 mm x 0.5 lb,3G97-07,0,Rs.482.00,0,0,Rs.0.00
1638,SLIM Screwdriver 6 Inch (+),2H01-61,6,Rs.125.00,26,0,"Rs.1,500.00"
1639,Grass Trimmer Disc ( Black ),3G97-08,0,Rs.290.00,906,15,"Rs.265,930.00"
1640,SLIM Screwdriver 6 Inch (-),2H01-62,6,Rs.125.00,29,0,"Rs.3,625.00"
1641,Grass Trimmer Head,3G97-09,0,Rs.360.00,375,8,"Rs.135,000.00"
1642,Step Drill Bit 4 mm - 20 mm,1P53-01,0,Rs.450.00,0,0,Rs.0.00
1643,Step Drill Bit 4 mm - 32 mm,1P53-02,0,Rs.750.00,0,0,Rs.0.00
1644,Portable Crane Scale  200 Kg,3G60-05,0,"Rs.2,450.00",479,1,"Rs.1,109,850.00"
1645,Step Drill Bit 1/8 - 1/2,1P53-03,0,Rs.450.00,0,0,Rs.0.00
1646,Diamond Polishing Pad 4 x 60,1P26-05,0,Rs.390.00,0,0,Rs.0.00
1647,Diamond Polishing Pad 4 x 80,1P26-06,0,Rs.390.00,0,0,Rs.0.00
1648,Diamond Polishing Pad 4 x 100,1P26-07,0,Rs.390.00,0,0,Rs.0.00
1649,Electric Scale (Square) AC/DC Power 10 Kg,3G60-06,0,"Rs.1,460.00",291,1,"Rs.343,100.00"
1650,Diamond Polishing Pad 4 x 120,1P26-08,0,Rs.390.00,0,0,Rs.0.00
1651,Tile Bit Evertech 10 mm 13/32,1P53-05,12,Rs.834.00,0,0,Rs.0.00
1652,Safety Goggles (Sun Glass) Clear,3G105-01,0,Rs.85.00,0,0,Rs.0.00
1653,( M - Seal ) Epoxy Compound 25 G,3G98-01,0,Rs.108.00,0,0,Rs.0.00
1654,( M - Seal ) Epoxy Compound 40 G,3G98-02,0,Rs.150.00,0,0,Rs.0.00
1655,Safety Goggles (Sun Glass) Black,3G105-02,0,Rs.56.00,0,0,Rs.0.00
1656,( M - Seal ) Epoxy Compound 60 G,3G98-03,0,Rs.240.00,0,0,Rs.0.00
1657,Tile Bit OEM 12 mm,1P53-06,12,Rs.295.00,0,0,Rs.0.00
1658,( M - Seal ) Epoxy Compound 90 G,3G98-04,0,Rs.295.00,0,0,Rs.0.00
1659,Tile Bit OEM 8 mm,1P53-07,8,Rs.195.00,175,0,Rs.0.00
1660,Safety Goggles (Soft),3G105-03,0,Rs.141.00,0,0,Rs.0.00
1661,Tile Cutting Machine Wheel ( L ),1P53-01,0,Rs.550.00,0,0,Rs.0.00
1662,Safety Goggles (Dust - Proof),3G105-04,0,Rs.260.00,910,45,"Rs.231,920.00"
1663,Tile Cutting Wheel ( S ),1P53-02,0,Rs.166.00,0,0,Rs.0.00
1664,Tile Cutting Wheel ( M ),1P53-03,0,Rs.166.00,0,0,Rs.0.00
1665,Tile Cutting Wheel ( L ),1P53-04,0,Rs.166.00,0,0,Rs.0.00
1666,Safety Face Shield (Black Net),3G105-05,0,Rs.875.00,6,0,Rs.0.00
1667,Welding Hand Seal (Heavy),3G105-06,0,Rs.410.00,0,0,"Rs.4,920.00"
1668,J.K. Files 3 Inch (75mm),3G109-01,3,Rs.126.00,0,0,Rs.0.00
1669,J.K. Files 3 1/2 Inch (88mm),3G109-02,3 1/2,Rs.130.00,0,0,Rs.0.00
1670,Welding Goggles ( Black & Clear ),3G105-07,0,Rs.245.00,50,0,"Rs.14,210.00"
1671,Welding Goggles ( Automatic Darkening ),3G105-08,0,"Rs.1,550.00",0,1,"Rs.4,650.00"
1672,J.K. Files 4 Inch (100mm),3G109-03,4,Rs.86.00,0,0,Rs.0.00
1673,Welding Black Glass 11,3G105-09,0,Rs.55.00,13,0,Rs.0.00
1674,Drill Chuck & Adaptor 10mm ( 1.5 UNF ),1P54-01,10,Rs.588.00,113,0,"Rs.69,384.00"
1675,Drill Chuck & Adaptor 13mm ( 1.5 UNF ),1P54-02,13,Rs.998.00,0,0,Rs.0.00
1676,J.K. Files 5 Inch (125mm),3G109-04,5,Rs.96.00,0,0,Rs.0.00
1677,Drill Chuck & Adaptor 16mm ( 1.5 UNF ),1P54-03,16,"Rs.2,362.00",31,0,"Rs.61,412.00"
1678,Drill Chuck 10mm ( 1.5 UNF ),1P54-04,10,Rs.480.00,0,6,"Rs.2,880.00"
1679,J.K. Files 6 Inch (150mm),3G109-05,6,Rs.155.00,0,0,Rs.0.00
1680,Drill Chuck 10mm ( 1.5 B-12 ),1P54-05,10,Rs.452.00,9,3,"Rs.1,356.00"
1681,Drill Chuck 13mm ( 1.5 UNF ),1P54-06,13,Rs.595.00,657,17,"Rs.214,795.00"
1682,J.K. Files (Original) 6 Inch,3G109-06,6,Rs.220.00,5532,32,"Rs.1,201,640.00"
1683,Drill Chuck 13mm ( 1.5 B-16 ),1P54-07,13,Rs.650.00,12,0,Rs.0.00
1684,Drill Chuck 16mm ( 1.5 UNF ),1P54-08,16,Rs.975.00,118,0,"Rs.39,000.00"
1685,Drill Chuck 16mm ( 1.5 B-16 ),1P54-09,16,"Rs.1,250.00",0,5,"Rs.90,000.00"
1686,Chainsaw File 5/32 Inch,3G109-07,May-32,Rs.370.00,0,0,Rs.0.00
1687,Drill Chuck 20mm ( 5.0 B-22 ),1P54-10,20,"Rs.2,159.00",0,0,Rs.0.00
1688,Keyless Drill Chuck 10mm ( 1.5 UNF ) Plastic,1P54-11,10,Rs.480.00,188,0,"Rs.92,160.00"
1689,Chainsaw File 7/32 Inch,3G109-08,May-32,Rs.370.00,0,0,Rs.0.00
1690,Drill Chuck Key 10mm,3G106-01,10,Rs.175.00,526,0,"Rs.92,225.00"
1691,Chainsaw File 3/16 Inch,3G109-09,16-Mar,Rs.370.00,0,0,Rs.0.00
1692,Drill Chuck Key 13mm,3G106-02,13,Rs.190.00,890,0,"Rs.168,340.00"
1693,Drill Chuck Key 16mm,3G106-03,16,Rs.210.00,180,0,"Rs.37,800.00"
1694,Flat File 8 Inch,3G109-10,8,Rs.396.00,0,0,Rs.0.00
1695,Spray Gun ( Down Bottle ) S-990,3G04-06,0,"Rs.2,340.00",0,0,Rs.0.00
1696,Flat File 10 Inch,3G109-11,10,Rs.447.00,0,0,Rs.0.00
1697,Battery Clamp ( 300A ),3G107-01,0,Rs.295.00,0,0,Rs.0.00
1698,Battery Terminal Set ( 2 PCS ),3G107-02,0,Rs.220.00,590,12,"Rs.129,800.00"
1699,Flat File 12 Inch,3G109-12,12,"Rs.1,176.00",0,0,Rs.0.00
1700,Plumbing Pipe Wrench ( Adjustable ) 10 INCH,2H19-05,10,"Rs.1,100.00",155,0,Rs.0.00
1701,Vernier Caliper 150mm,2H38-07,0,Rs.990.00,0,0,Rs.0.00
1702,Hex Key Set ( Long Arm ) 9PCS,2H42-06,0,Rs.630.00,0,0,Rs.0.00
1703,Air Tire Chuck ( Rubber Grip ),3G06-04,0,Rs.450.00,0,0,Rs.0.00
1704,Heavy Duty Hand Riveter (Ehao),2H44-07,0,"Rs.1,870.00",155,3,"Rs.289,850.00"
1705,Pressure Pump Control Unit ( Automatic ),3G06-04,0,"Rs.5,950.00",0,0,Rs.0.00
1706,No 1 Screwdriver (Adjustable) 6 Inch,2H01-63,6,Rs.350.00,0,0,Rs.0.00
1707,Pantry Magnet (S/S) Large,3G55-04,0,Rs.160.00,389,25,"Rs.56,000.00"
1708,Tile Beading King (Normal),3G109-01,0,Rs.166.00,0,0,Rs.0.00
1709,Sticker Pad 7 INCH,1P23-03,7,Rs.390.00,0,0,"Rs.22,620.00"
1710,Sticker Paper 7-60,1P24-11,0,Rs.45.00,109,0,"Rs.4,905.00"
1711,Tile Beading King Mega,3G109-02,0,Rs.425.00,360,60,"Rs.25,925.00"
1712,Sticker Paper 7-80,1P24-12,0,Rs.45.00,0,0,Rs.0.00
1713,Tile Beading (S/S) King,3G109-03,0,Rs.525.00,2475,20,"Rs.952,875.00"
1714,Sticker Paper 7-100,1P24-13,0,Rs.45.00,0,0,Rs.0.00
1715,Pruning Shear ( Heavy Duty - Grip ) 8 INCH,2H11-05,8,Rs.780.00,11,0,Rs.0.00
1716,Pruning Shear ( Heavy Duty - Grip ) 10 INCH,2H11-06,10,Rs.975.00,23,0,Rs.0.00
1717,Foldable Knife With Blade,3G104-07,0,Rs.225.00,948,6,"Rs.216,450.00"
1718,L. P. G. Regulator EHPL M-168F,3G103-01,0,Rs.865.00,6,0,Rs.0.00
1719,Plastic Handal Wire Brash With Scraper 6 Raw,2H48-05,0,Rs.185.00,0,0,Rs.0.00
1720,L. P. G. Regulator ( Milux ) M-168F,3G103-02,0,Rs.875.00,0,0,Rs.0.00
1721,High Pressure Gas Regulator EHPL M181,3G103-04,0,"Rs.1,811.00",0,0,Rs.0.00
1722,High Pressure Gas Regulator ( Aker ),3G103-05,0,"Rs.1,732.00",0,0,Rs.0.00
1723,Pipe Clip ( GI ) 2 INCH,3G54-05,2,Rs.44.00,250,25,"Rs.16,060.00"
1724,Garden Hedge Shears Havey (Orange),2H58-01,0,"Rs.1,150.00",355,7,"Rs.408,250.00"
1725,Soldering Iron ( Bouth ) H/Q 100W,3G65-02,0,"Rs.1,290.00",0,0,Rs.0.00
1726,Garden Hedge Shears Wood Handle,2H58-02,0,Rs.377.00,0,0,Rs.0.00
1727,Garden Hedge Shears (Reguler),2H58-03,0,Rs.700.00,513,6,"Rs.466,200.00"
1728,Adjustable Wrench ( Diamond ) 15 INCH,2H21-07,16,"Rs.1,900.00",0,0,Rs.0.00
1729,Adjustable Wrench ( Diamond ) 18 INCH,2H21-08,18,"Rs.2,950.00",0,0,Rs.0.00
1730,Garden Hedge Shears Heavy Duty (Orange),2H58-04,0,"Rs.1,540.00",0,0,Rs.0.00
1731,Paper Cutter ( Large ),3G104-01,0,Rs.250.00,0,0,Rs.0.00
1732,Garden Hedge Shears (Adjustable-Regular),2H58-05,0,"Rs.1,460.00",0,0,Rs.0.00
1733,Paper Cutter (Small ),3G104-02,0,Rs.80.00,0,0,Rs.0.00
1734,Paper Cutter (Small ) Hevy SK5,3G104-03,0,Rs.185.00,870,30,"Rs.163,540.00"
1735,Plumb Bob Oem (300GR),3G102-01,0,Rs.380.00,12,0,Rs.0.00
1736,Paper Cutter 12PCS Packet ( Small ),3G104-04,0,Rs.330.00,0,0,Rs.0.00
1737,Paper Cutter Blade ( L ),3G104-05,0,Rs.357.00,0,0,Rs.0.00
1738,Paper Cutter Blade ( S ),3G104-06,0,Rs.55.00,800,5,"Rs.40,810.00"
1739,Wire Stripping Pliers 7 (Inch),2H57-01,7,Rs.418.00,0,0,Rs.0.00
1740,Cable Stripping Pliers (Multy-Function) 8 Inch,2H57-02,8,Rs.520.00,555,6,"Rs.290,160.00"
1741,Duck Bill Stripper 7 Inch,2H57-03,7,Rs.940.00,0,0,Rs.0.00
1742,Chain Lock (Small),3G24-02,0,Rs.890.00,0,0,Rs.0.00
1743,Drywall Screw ( Yalida ) 6 X 5/8 Inch - 1000Pcs,3G47-15,08-May,"Rs.1,320.00",52,0,"Rs.68,640.00"
1744,Drywall Screw ( Yalida ) 8 X 2 Inch - 500Pcs,3G47-16,2,"Rs.1,875.00",0,0,Rs.0.00
