*,Product,Code,Size,Retail price,Available Stock,Hold Stock,Total price
862,Tower Bolt (S/S) Side Lock 6 Inch,3G35-01,6,Rs.240.00,0,16,"Rs.43,440.00"
863,Tower Bolt (S/S) Side Lock 8 Inch,3G35-02,8,Rs.265.00,0,0,Rs.0.00
864,HASP & Staple (S/S) 3 Inch,3G36-01,3,Rs.90.00,3360,0,"Rs.305,100.00"
865,HASP & Staple (S/S) 4 Inch,3G36-02,4,Rs.110.00,1570,0,"Rs.155,100.00"
866,HASP & Staple (S/S) 4.5 Inch,3G36-03,5,Rs.135.00,2200,0,"Rs.285,660.00"
867,HASP & Staple Steel  (Black) 2 1/2  Inch,3G36-04,2 1/2,Rs.65.00,5760,48,"Rs.392,340.00"
868,HASP & Staple Steel (Black) 3 Inch,3G36-05,3,Rs.75.00,1956,48,"Rs.146,700.00"
869,HASP & Staple Steel (Black) 4 Inch,3G36-06,4,Rs.100.00,180,0,Rs.0.00
870,HASP & Staple Steel (Black) 5 Inch,3G36-07,5,Rs.150.00,156,60,"Rs.25,200.00"
871,Caster Wheel (White) Non - Swivel 2 Inch,3G37-01,2,Rs.80.00,0,0,Rs.0.00
872,Caster Wheel (White) Non - Swivel 3 Inch,3G37-02,3,Rs.366.00,367,0,"Rs.126,636.00"
873,Caster Wheel (White) Swivel 1 1/2 Inch,3G37-03,1 1/2,Rs.84.00,394,7,"Rs.30,828.00"
874,Caster Wheel (White) Swivel 2 Inch,3G37-04,2,Rs.116.00,66,0,"Rs.14,036.00"
875,Caster Wheel (White) Swivel 3 Inch,3G37-05,3,Rs.247.00,0,0,Rs.247.00
876,Caster Wheel (White) Swivel - Lock 1 1/2 Inch,3G37-06,1 1/2,Rs.94.00,358,0,"Rs.33,652.00"
877,Caster Wheel (White) Swivel - Lock 2 Inch,3G37-07,2,Rs.126.00,0,0,"Rs.2,016.00"
878,Caster Wheel (White) Swivel - Lock 3 Inch,3G37-08,3,Rs.295.00,227,0,"Rs.67,555.00"
879,Caster Wheel (Red) Non - Swivel 2 Inch,3G38-01,2,Rs.155.00,0,0,Rs.0.00
880,Caster Wheel (Red) Non - Swivel 3 Inch,3G38-02,3,Rs.296.00,0,0,"Rs.7,104.00"
881,Caster Wheel (Red) Swivel 1 1/2 Inch,3G38-03,1 1/2,Rs.105.00,210,0,"Rs.30,660.00"
882,Caster Wheel (Red) Swivel 2 Inch,3G38-04,2,Rs.152.00,187,0,"Rs.30,400.00"
883,Caster Wheel (Red) Swivel 3 Inch,3G38-05,3,Rs.362.00,71,0,"Rs.38,372.00"
884,Caster Wheel (Red) Swivel - Lock 1 1/2 Inch,3G38-06,1 1/2,Rs.131.00,211,0,"Rs.29,344.00"
885,Caster Wheel (Red) Swivel - Lock 2 Inch,3G38-07,2,Rs.178.00,116,12,"Rs.21,538.00"
886,Caster Wheel (Red) Swivel - Lock 3 Inch,3G38-08,3,Rs.404.00,0,0,Rs.808.00
887,Caster Wheel (Green) Swivel 2 Inch,3G39-01,2,Rs.236.00,265,0,"Rs.65,136.00"
888,Caster Wheel (Green) Swivel 3 Inch,3G39-02,3,Rs.404.00,15,0,"Rs.13,736.00"
889,Caster Wheel (Green) Swivel 4 Inch,3G39-03,4,Rs.808.00,0,0,Rs.0.00
890,Caster Wheel (Green) Swivel - Lock 2 Inch,3G39-04,2,Rs.336.00,210,0,"Rs.80,976.00"
891,Caster Wheel (Green) Swivel - Lock 3 Inch,3G39-05,3,Rs.546.00,67,0,"Rs.53,508.00"
892,Caster Wheel (Green) Swivel - Lock 4 Inch,3G39-06,4,Rs.919.00,0,0,Rs.0.00
893,Trolley Wheel (White) Swivel 3 Inch,3G40-01,3,Rs.287.00,0,0,Rs.0.00
894,Trolley Wheel (White) Swivel 4 Inch,3G40-02,4,Rs.396.00,0,0,Rs.0.00
895,Trolley Wheel (Black) Non - Swivel 3 Inch,3G41-01,3,Rs.366.00,0,0,Rs.0.00
896,Trolley Wheel (Black) Non - Swivel 4 Inch,3G41-02,4,Rs.497.00,0,0,Rs.0.00
897,Trolley Wheel (Black) Non - Swivel 5 Inch,3G41-03,5,Rs.597.00,0,0,Rs.0.00
898,Trolley Wheel (Black) Swivel 3 Inch,3G41-04,3,Rs.472.00,2,10,"Rs.15,104.00"
899,Trolley Wheel (Black) Swivel 4 Inch,3G41-05,4,Rs.709.00,6,0,Rs.0.00
900,Trolley Wheel (Black) Swivel 5 Inch,3G41-06,5,Rs.830.00,0,0,Rs.0.00
901,Trolley Wheel (Black) Swivel 6 Inch,3G41-07,6,"Rs.1,675.00",0,0,Rs.0.00
902,Trolley Wheel (Black) Swivel - Lock 3 Inch,3G41-08,3,Rs.695.00,0,0,"Rs.12,510.00"
